retailer,retailer_id,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales,operating_profit,operating_margin,sales_method,product_id,region_id,store_id,date_id,sales_amount,profit_margin,growth_rate,product_prod,category,subcategory,unit_price,cost_price,launch_date,performance_score,retailer_store,retailer_id_store,state_store,city_store,store_type,store_size,store_location,store_performance,region_region,region_population,market_size,average_income,market_potential,growth_opportunity,date,month,year,season,is_holiday,time_period
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,50.0,1200,600000.0,300000.0,0.5,In-store,1,1,1,1,60000.0,0.5,-0.09,Men's Street Footwear,accessories,caps,81.73,51.99,2023-01-08,78.72,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-01-01,1,2020,winter,0,q1
Foot Locker,1185732,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,50.0,1000,500000.0,150000.0,0.3,In-store,2,1,1,2,50000.0,0.3,0.127,Men's Athletic Footwear,apparel,jackets,42.77,33.67,2022-01-17,82.39,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-01-02,1,2020,winter,0,q1
Foot Locker,1185732,2020-01-03,Northeast,New York,New York,Women's Street Footwear,40.0,1000,400000.0,140000.0,0.35,In-store,3,1,1,3,40000.0,0.35,-0.041,Women's Street Footwear,shoes,running,86.9,56.37,2024-08-12,79.33,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-01-03,1,2020,winter,0,q1
Foot Locker,1185732,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,45.0,850,382500.0,133875.0,0.35,In-store,4,1,1,4,38250.0,0.35,-0.048,Women's Athletic Footwear,shoes,running,90.02,51.84,2022-11-01,93.8,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-01-04,1,2020,winter,0,q1
Foot Locker,1185732,2020-01-05,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3,In-store,5,1,1,5,54000.0,0.3,-0.041,Men's Apparel,shoes,sneakers,65.33,33.25,2022-05-25,72.19,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-01-05,1,2020,winter,0,q1
Foot Locker,1185732,2020-01-06,Northeast,New York,New York,Women's Apparel,50.0,1000,500000.0,125000.0,0.25,In-store,6,1,1,6,50000.0,0.25,-0.028,Women's Apparel,shoes,sneakers,97.96,49.6,2024-04-28,92.81,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-01-06,1,2020,winter,0,q1
Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,50.0,1250,625000.0,312500.0,0.5,In-store,1,1,1,7,62500.0,0.5,-0.092,Men's Street Footwear,accessories,caps,81.73,51.99,2023-01-08,78.72,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-01-07,1,2020,winter,1,q1
Foot Locker,1185732,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,50.0,900,450000.0,135000.0,0.3,Outlet,2,1,1,8,45000.0,0.3,0.113,Men's Athletic Footwear,apparel,jackets,42.77,33.67,2022-01-17,82.39,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-01-08,1,2020,winter,0,q1
Foot Locker,1185732,2020-01-21,Northeast,New York,New York,Women's Street Footwear,40.0,950,380000.0,133000.0,0.35,Outlet,3,1,1,9,38000.0,0.35,0.077,Women's Street Footwear,shoes,running,86.9,56.37,2024-08-12,79.33,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-01-21,1,2020,winter,0,q1
Foot Locker,1185732,2020-01-22,Northeast,New York,New York,Women's Athletic Footwear,45.0,825,371250.0,129937.49999999999,0.35,Outlet,4,1,1,10,37125.0,0.35,0.154,Women's Athletic Footwear,shoes,running,90.02,51.84,2022-11-01,93.8,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-01-22,1,2020,winter,0,q1
Foot Locker,1185732,2020-01-23,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3,Outlet,5,1,1,11,54000.0,0.3,0.154,Men's Apparel,shoes,sneakers,65.33,33.25,2022-05-25,72.19,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-01-23,1,2020,winter,1,q1
Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Women's Apparel,50.0,1000,500000.0,125000.0,0.25,Outlet,6,1,1,12,50000.0,0.25,0.075,Women's Apparel,shoes,sneakers,97.96,49.6,2024-04-28,92.81,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-01-24,1,2020,winter,0,q1
Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,50.0,1220,610000.0,305000.0,0.5,Outlet,1,1,1,13,61000.0,0.5,-0.06,Men's Street Footwear,accessories,caps,81.73,51.99,2023-01-08,78.72,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-01-25,1,2020,winter,0,q1
Foot Locker,1185732,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,50.0,925,462500.0,138750.0,0.3,Outlet,2,1,1,14,46250.0,0.3,0.113,Men's Athletic Footwear,apparel,jackets,42.77,33.67,2022-01-17,82.39,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-01-26,1,2020,winter,0,q1
Foot Locker,1185732,2020-01-27,Northeast,New York,New York,Women's Street Footwear,40.0,950,380000.0,133000.0,0.35,Outlet,3,1,1,15,38000.0,0.35,0.053,Women's Street Footwear,shoes,running,86.9,56.37,2024-08-12,79.33,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-01-27,1,2020,winter,0,q1
Foot Locker,1185732,2020-01-28,Northeast,New York,New York,Women's Athletic Footwear,45.0,800,360000.0,125999.99999999999,0.35,Outlet,4,1,1,16,36000.0,0.35,-0.062,Women's Athletic Footwear,shoes,running,90.02,51.84,2022-11-01,93.8,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-01-28,1,2020,winter,0,q1
Foot Locker,1185732,2020-01-29,Northeast,New York,New York,Men's Apparel,60.0,850,510000.0,153000.0,0.3,Outlet,5,1,1,17,51000.0,0.3,0.196,Men's Apparel,shoes,sneakers,65.33,33.25,2022-05-25,72.19,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-01-29,1,2020,winter,0,q1
Foot Locker,1185732,2020-01-30,Northeast,New York,New York,Women's Apparel,50.0,950,475000.0,118750.0,0.25,Outlet,6,1,1,18,47500.0,0.25,0.083,Women's Apparel,shoes,sneakers,97.96,49.6,2024-04-28,92.81,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-01-30,1,2020,winter,0,q1
Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Street Footwear,50.0,1200,600000.0,300000.0,0.5,Outlet,1,1,1,19,60000.0,0.5,0.161,Men's Street Footwear,accessories,caps,81.73,51.99,2023-01-08,78.72,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-01-31,1,2020,winter,0,q1
Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,50.0,900,450000.0,135000.0,0.3,Outlet,2,1,1,20,45000.0,0.3,0.192,Men's Athletic Footwear,apparel,jackets,42.77,33.67,2022-01-17,82.39,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-02-01,2,2020,winter,0,q1
Foot Locker,1185732,2020-02-02,Northeast,New York,New York,Women's Street Footwear,40.0,900,360000.0,125999.99999999999,0.35,Outlet,3,1,1,21,36000.0,0.35,0.185,Women's Street Footwear,shoes,running,86.9,56.37,2024-08-12,79.33,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-02-02,2,2020,winter,0,q1
Foot Locker,1185732,2020-02-03,Northeast,New York,New York,Women's Athletic Footwear,45.0,825,371250.0,129937.49999999999,0.35,Outlet,4,1,1,22,37125.0,0.35,0.166,Women's Athletic Footwear,shoes,running,90.02,51.84,2022-11-01,93.8,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-02-03,2,2020,winter,0,q1
Foot Locker,1185732,2020-02-04,Northeast,New York,New York,Men's Apparel,60.0,825,495000.0,148500.0,0.3,Outlet,5,1,1,23,49500.0,0.3,0.186,Men's Apparel,shoes,sneakers,65.33,33.25,2022-05-25,72.19,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-02-04,2,2020,winter,0,q1
Foot Locker,1185732,2020-02-05,Northeast,New York,New York,Women's Apparel,50.0,950,475000.0,118750.0,0.25,Outlet,6,1,1,24,47500.0,0.25,-0.034,Women's Apparel,shoes,sneakers,97.96,49.6,2024-04-28,92.81,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-02-05,2,2020,winter,1,q1
Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,60.0,1220,732000.0,366000.0,0.5,Outlet,1,1,1,25,73200.0,0.5,0.012,Men's Street Footwear,accessories,caps,81.73,51.99,2023-01-08,78.72,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-02-06,2,2020,winter,0,q1
Foot Locker,1185732,2020-02-07,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,925,508750.00000000006,152625.0,0.3,Outlet,2,1,1,26,50875.00000000001,0.3,0.102,Men's Athletic Footwear,apparel,jackets,42.77,33.67,2022-01-17,82.39,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-02-07,2,2020,winter,0,q1
Foot Locker,1185732,2020-02-08,Northeast,New York,New York,Women's Street Footwear,50.0,900,450000.0,157500.0,0.35,Outlet,3,1,1,27,45000.0,0.35,0.031,Women's Street Footwear,shoes,running,86.9,56.37,2024-08-12,79.33,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-02-08,2,2020,winter,0,q1
Foot Locker,1185732,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,50.0,850,425000.0,148750.0,0.35,Outlet,4,1,1,28,42500.0,0.35,0.033,Women's Athletic Footwear,shoes,running,90.02,51.84,2022-11-01,93.8,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-02-09,2,2020,winter,0,q1
Foot Locker,1185732,2020-02-10,Northeast,New York,New York,Men's Apparel,60.0,875,525000.0,157500.0,0.3,Outlet,5,1,1,29,52500.0,0.3,0.017,Men's Apparel,shoes,sneakers,65.33,33.25,2022-05-25,72.19,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-02-10,2,2020,winter,0,q1
Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Women's Apparel,65.0,1000,650000.0,162500.0,0.25,Outlet,6,1,1,30,65000.0,0.25,0.165,Women's Apparel,shoes,sneakers,97.96,49.6,2024-04-28,92.81,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-03-03,3,2020,spring,0,q1
Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,60.0,1250,750000.0,375000.0,0.5,Outlet,1,1,1,31,75000.0,0.5,0.179,Men's Street Footwear,accessories,caps,81.73,51.99,2023-01-08,78.72,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-03-04,3,2020,spring,1,q1
Foot Locker,1185732,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1000,550000.0000000001,165000.00000000003,0.3,Outlet,2,1,1,32,55000.00000000001,0.3,-0.047,Men's Athletic Footwear,apparel,jackets,42.77,33.67,2022-01-17,82.39,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-03-05,3,2020,spring,0,q1
Foot Locker,1185732,2020-03-06,Northeast,New York,New York,Women's Street Footwear,50.0,925,462500.0,161875.0,0.35,Outlet,3,1,1,33,46250.0,0.35,-0.044,Women's Street Footwear,shoes,running,86.9,56.37,2024-08-12,79.33,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-03-06,3,2020,spring,0,q1
Foot Locker,1185732,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,450000.0,157500.0,0.35,Outlet,4,1,1,34,45000.0,0.35,0.185,Women's Athletic Footwear,shoes,running,90.02,51.84,2022-11-01,93.8,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-03-07,3,2020,spring,0,q1
Foot Locker,1185732,2020-03-08,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3,Outlet,5,1,1,35,54000.0,0.3,-0.047,Men's Apparel,shoes,sneakers,65.33,33.25,2022-05-25,72.19,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-03-08,3,2020,spring,1,q1
Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,65.0,1050,682500.0,170625.0,0.25,Outlet,6,1,1,36,68250.0,0.25,0.048,Women's Apparel,shoes,sneakers,97.96,49.6,2024-04-28,92.81,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-03-09,3,2020,spring,0,q1
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,60.0,1275,765000.0,382500.0,0.5,Outlet,1,1,1,37,76500.0,0.5,0.113,Men's Street Footwear,accessories,caps,81.73,51.99,2023-01-08,78.72,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-03-10,3,2020,spring,0,q1
Foot Locker,1185732,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1025,563750.0000000001,169125.00000000003,0.3,Outlet,2,1,1,38,56375.00000000001,0.3,0.108,Men's Athletic Footwear,apparel,jackets,42.77,33.67,2022-01-17,82.39,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-03-11,3,2020,spring,0,q1
Foot Locker,1185732,2020-03-12,Northeast,New York,New York,Women's Street Footwear,50.0,950,475000.0,166250.0,0.35,Outlet,3,1,1,39,47500.0,0.35,-0.092,Women's Street Footwear,shoes,running,86.9,56.37,2024-08-12,79.33,Foot Locker,1185732,New York,New York,retail,small,new york,63.94,Northeast,9318549,medium,79115,91,77,2020-03-12,3,2020,spring,0,q1
