date,product_id,category,season,time_period,sales_amount,units_sold,profit_margin,growth_rate
2020-01-01,1,accessories,winter,q1,88848.0,1920,0.5433333333333333,0.017666666666666667
2020-01-01,6,shoes,winter,q1,30668.0,441,0.35000000000000003,0.027666666666666662
2020-01-02,1,accessories,winter,q1,23920.0,730,0.44333333333333336,0.078
2020-01-02,2,apparel,winter,q1,73740.0,1580,0.35666666666666663,0.04700000000000001
2020-01-03,2,apparel,winter,q1,30123.0,702,0.31,0.12666666666666668
2020-01-03,3,shoes,winter,q1,60200.0,1600,0.3933333333333333,0.073
2020-01-04,3,shoes,winter,q1,30087.0,707,0.47000000000000003,-0.013666666666666669
2020-01-04,4,shoes,winter,q1,58493.0,1378,0.3933333333333333,-1.1564823173178713e-18
2020-01-05,4,shoes,winter,q1,20301.0,477,0.42,-0.051
2020-01-05,5,shoes,winter,q1,80028.0,1440,0.3566666666666667,-0.04933333333333334
2020-01-06,5,shoes,winter,q1,18750.0,400,0.59,0.068
2020-01-06,6,shoes,winter,q1,74500.0,1590,0.3133333333333333,-0.007666666666666666
2020-01-07,1,accessories,winter,q1,89702.0,1951,0.5466666666666667,-0.001666666666666668
2020-01-07,6,shoes,winter,q1,32599.0,769,0.24666666666666667,0.05666666666666667
2020-01-08,1,accessories,winter,q1,28418.0,856,0.44333333333333336,0.06366666666666666
2020-01-08,2,apparel,winter,q1,69291.0,1476,0.35666666666666663,0.08133333333333333
2020-01-09,2,apparel,winter,q1,29704.0,698,0.32,0.10099999999999999
2020-01-10,3,shoes,winter,q1,28344.0,684,0.45333333333333337,0.06999999999999999
2020-01-11,4,shoes,winter,q1,18181.0,434,0.4066666666666667,0.07466666666666667
2020-01-12,5,shoes,winter,q1,14982.0,322,0.6200000000000001,0.12833333333333333
2020-01-13,6,shoes,winter,q1,27096.0,656,0.25666666666666665,0.04766666666666666
2020-01-14,1,accessories,winter,q1,37272.0,892,0.46666666666666673,0.08233333333333333
2020-01-15,2,apparel,winter,q1,33208.0,644,0.3233333333333333,-0.022000000000000002
2020-01-16,3,shoes,winter,q1,32912.0,632,0.46666666666666673,0.06033333333333333
2020-01-17,4,shoes,winter,q1,24512.999999999996,477,0.41,-0.008333333333333333
2020-01-18,5,shoes,winter,q1,15725.0,282,0.6233333333333334,0.010333333333333333
2020-01-19,6,shoes,winter,q1,30537.0,593,0.26666666666666666,0.08900000000000001
2020-01-20,1,accessories,winter,q1,48305.0,864,0.44333333333333336,0.0010000000000000009
2020-01-21,2,apparel,winter,q1,34410.0,568,0.30666666666666664,-0.03933333333333333
2020-01-21,3,shoes,winter,q1,58272.0,1549,0.39999999999999997,0.12966666666666668
2020-01-22,3,shoes,winter,q1,38960.0,640,0.46,-0.029666666666666664
2020-01-22,4,shoes,winter,q1,54125.0,1279,0.4066666666666667,0.17233333333333334
2020-01-23,4,shoes,winter,q1,26025.0,465,0.40666666666666657,0.08900000000000001
2020-01-23,5,shoes,winter,q1,81252.0,1449,0.35999999999999993,0.012000000000000002
2020-01-24,5,shoes,winter,q1,19190.0,314,0.6066666666666668,0.054
2020-01-24,6,shoes,winter,q1,76520.0,1640,0.30666666666666664,0.09033333333333333
2020-01-25,1,accessories,winter,q1,92884.0,1964,0.5499999999999999,-0.044000000000000004
2020-01-25,6,shoes,winter,q1,42052.0,568,0.27,-0.06466666666666666
2020-01-26,1,accessories,winter,q1,48995.0,870,0.5033333333333333,0.005666666666666667
2020-01-26,2,apparel,winter,q1,69707.0,1499,0.3633333333333333,0.11866666666666666
2020-01-27,2,apparel,winter,q1,37400.0,624,0.36000000000000004,-0.04933333333333334
2020-01-27,3,shoes,winter,q1,56111.0,1511,0.4166666666666667,0.12266666666666666
2020-01-28,3,shoes,winter,q1,39776.0,648,0.49666666666666665,0.10966666666666668
2020-01-28,4,shoes,winter,q1,52728.0,1256,0.4166666666666667,0.04966666666666667
2020-01-29,4,shoes,winter,q1,28065.0,495,0.4533333333333333,-0.027999999999999997
2020-01-29,5,shoes,winter,q1,76997.0,1369,0.3466666666666667,0.075
2020-01-30,5,shoes,winter,q1,19438.0,326,0.6533333333333334,0.12833333333333333
2020-01-30,6,shoes,winter,q1,69838.0,1511,0.29,0.14633333333333334
2020-01-31,1,accessories,winter,q1,85776.0,1872,0.5533333333333333,0.12066666666666666
2020-01-31,6,shoes,winter,q1,53778.0,721,0.30666666666666664,-0.008666666666666665
2020-02-01,1,accessories,winter,q1,64099.0,1134,0.5066666666666667,0.126
2020-02-01,2,apparel,winter,q1,67023.0,1449,0.3466666666666666,0.06866666666666667
2020-02-02,2,apparel,winter,q1,55262.0,897,0.35666666666666663,0.013999999999999993
2020-02-02,3,shoes,winter,q1,54648.0,1467,0.41,0.07433333333333333
2020-02-03,3,shoes,winter,q1,54076.0,891,0.5066666666666667,0.0023333333333333335
2020-02-03,4,shoes,winter,q1,55883.0,1353,0.4033333333333333,0.15
2020-02-04,4,shoes,winter,q1,38753.0,681,0.4533333333333333,-0.03933333333333334
2020-02-04,5,shoes,winter,q1,73904.0,1321,0.36000000000000004,0.08166666666666667
2020-02-05,5,shoes,winter,q1,29214.0,486,0.6633333333333334,0.036
2020-02-05,6,shoes,winter,q1,72149.0,1521,0.29666666666666663,0.042333333333333334
2020-02-06,1,accessories,winter,q1,106422.0,1903,0.5533333333333333,0.005333333333333329
2020-02-06,6,shoes,winter,q1,71646.0,966,0.31,0.09033333333333333
2020-02-07,1,accessories,winter,q1,68828.0,1201,0.4566666666666667,0.000333333333333329
